ID User,Name,Book,Review,Rate,Date Post
27300702,GlassyPizzaFingers,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"I read this book in Vietnamese about five or six years back, when I first came to the U.S. I remember bringing this book from Vietnam as a gift from my cousin, whom I refer to as sister. This is a very lovely book from Nguyễn Nhật Ánh; he captures the easy-going, and exciting life of many Vietnamese children very well, and of course, this book was not written for children, rather, it was for adults who want a ticket back to their childhoods, a trip down the memory lane. This book serves that pur",5,"Jan 03, 2016"
35043057,Renae,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"I had a good five minute long internal debate with myself before reviewing this book because I read the translated work (the book is originally in Vietnamese) and I have mixed feelings about the book. I wonder if the reason I didn't enjoy the book is because of the content or because of how the original content was translated. With The Man with Compound Eyes, translation seemed pretty on point, with of course, some liberty taken for the sake of cohesion... Of course, I know Mandarin much better ",1,"Mar 25, 2015"
18931036,Shannon Lee,Cho Tôi Xin Một Vé Đi Tuổi Thơ,Just the sweetest. This is a fast and enjoyable read and truly blurs the line between fiction and biography. This should be required reading for grown ups; it is impossible to read this without recollecting the forgotten magic of childhood and the anguish of having to grow up and away from innocence. ,4,"Dec 29, 2014"
65853099,Regina / cà rốt và thỏ,Cho Tôi Xin Một Vé Đi Tuổi Thơ,i'm out of words to describe,5,"Apr 15, 2017"
1918609,Thomas Andrikus,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"The frequent contrasting between childhood and adulthood made by the author is reminiscent of the famous French work ""The Little Prince"" and the Japanese novel ""Totto-chan"".The main differences is that these stories told by Mui take place in our actual world (instead of a fantasy world) and are based in Vietnam. I even suspect that the meta-story of how Mui recounts his own childhood from his 40-year-old self is merely a semi-autobiographical account by the actual author himself.Anyway, this nov",5,"May 30, 2015"
5258312,Anh,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"This book was a phenomenon when it was first published in Vietnam, partly because of the author's fame, partly because the book itself is truly wonderful: a queer sense of humor, extraordinary thoughts that suit all type of readers: kids, teenagers and adults. I never liked Nguyễn Nhật Ánh and actually distaste his previous books entirely, but to my surprise I found this book hard to put down once started!",4,"Apr 12, 2011"
32952691,Bagus,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"Nguyen Nhat Anh has said about this book that he did not write this book for children, but instead he wrote it to those who used to be children. And indeed as I flipped between the pages in this book, it was as though there is this voice who's speaking to the Inner Child inside my mind. Indeed, Inner Child has been one of the most interesting research topics in popular psychology. The term Inner Child corresponds to individual childlike's aspects that keep embodying our minds even as we grow old",4,"Apr 22, 2020"
28438187,Brandy Navetta,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"Rich with one liners and moments where you'll laugh aloud. Just one to share here: ""Adults like to keep the cobwebs out of their attics - to clean up the past. But when you brush those cobwebs away, you may be brushing off diamond dust."" Translated into English from Vietnamese. You'll be a more informed and developed reader of literature by experiencing this short fiction piece. ",4,"Nov 03, 2016"
12034280,Viktoria,Cho Tôi Xin Một Vé Đi Tuổi Thơ,Lovely little book. Makes you remember good things from your own childhood and lighten up. ,4,"Dec 28, 2014"
64888572,Elise Le,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"hilarious, remind me of fun memories in my childhood, must read book for adults. how much the book valued?- well, the older you get, the more it makes you cry- it is that kind of books",5,"Apr 17, 2020"
5208681,Magdelanye,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"But you can, without a ticket, revisit your childhood any time. Just step out of the shallow man=made canal and into deep water. p155TNA may be having us on here, as he considers possibilities for framing this story of innocence and inevitability. Is this memoir, documentary fiction, or fantasy? Can our memories redeem themselves? Can we ever redeem our memories?I've discovered that one mans boring rut is another mans domestic harmony. p28Whatever the case, TNA gives us the observations of a fat",4,"Aug 07, 2019"
18203243,Stuart,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"A very enjoyable slice of childhood. A short read, the author recounts various episodes of his time growing up in Vietnam. This is in the same style as another very good book called ""Totto-chan: The girl in the Window"" (life in Japan as a child). It is a pleasant recollection of a childhood adventures that reminded me of Mark Twain's writing. The author breaks the barrier between himself as a character and himself as an author with an occasional wink to his reader. He also does a good job in poi",4,"Jan 04, 2015"
3093151,Lindsey Sparks,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"I almost returned this to the library unread since I'm trying to read my own books, but I'm glad I didn't. It's a short little book, only about 140 pages, but it did a great job at capturing childhood, or more clearly, an adult's memory of childhood. I liked seeing how someone growing up across the world from me could have similar childhood memories. It reads like a memoir and felt very real, even though it's a novel (or is it?). It made me think about all of my memories of playing with the kids",3,"Jan 04, 2016"
49876933,Mitu Bút Chì,Cho Tôi Xin Một Vé Đi Tuổi Thơ,This book is somehow overrated.,2,"Aug 22, 2016"
36432305,Michael Haase,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"There's is eloquence in simplicity, it is sometimes said, and I found that to be the case with this novel. It is a short but impactful recall to the creativity and enthusiastic wonder that defines childhood and contrasts the abundant monotony of adulthood. I finished this book in between 2-3 hours and loved any bit of it. How relieving it felt after the weeks I've spent reading huge, 500+ page volumes filled to the brim with blandness. Moreover, I commend the author for being able to capture the",4,"Jul 13, 2017"
118367831,Nguyen Hoang,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"I have read this 3 time: 1. When i was a kid and see it in my father book shelves : 3 Start for weird childhood of author. 2. When i prepaird to Unisversity Test : 2 start for any thing in this book and all memories that i  don't wana remember.  3. When i was strusgling find a well paying job, lost my dream and live in the past when i not have  to worries about bill. It just like a start of a converstations when people try to talk about what they  did when they was youth. Every memories about my",4,"Jul 16, 2020"
1847484,Michael,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"This is an author really really loved by the Vietnamese, and I guess, you have to have grown up in Vietnam to appreciate him because I find this book - and other media by this guy to be frankly terrrible and they all have this horrible misogynistic undertone and... yeah. This book is not only dull, it constantly makes you question how real it is, but not in a good way.ahhh it's not even worth writing more about.",2,"Jan 10, 2020"
95419078,Nyssnisacha,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"On my trip to Ho Chi Minh last year, I wanted so badly to bring back Vietnamese authors’ translated works. I finally read it yesterday (thanks to COVID-19 lockdown) and take my sweet time reading it. It is a children’s book made for adults, hence the title. I smiled all the way through reading it and smiled upon finishing it. What a great book. A simple but thought provoking one. It will be a book I will reread again and again and again. ",5,"Mar 24, 2020"
3885089,Daniel Kukwa,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"Is this really a novel, or a memoir masquerading as a novel? I'm not sure...but I did enjoy the experience. In its exploration of childhood, reflected in the eyes of adults, it's sweet, outrageous, funny, and poignant. It treats the fourth wall between writer and reader like a permeable membrane, and the end result is something slightly kooky and off-centre, but joyously entertaining.",4,"Jun 27, 2018"
120215749,Dung Đỗ,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"I read this when i was secondary school when i was not not old enough to feel related and grasp all those bittersweet moments NNA want readers to understand. However, I can somehow feel the bittersweet of the ending and some of the emotions from the writer throughout the novel. Maybe one day, when i get older, I'll read this book once again and be able to truly understand it. ",3,"Aug 21, 2020"
53045321,Quỳnh Phạm,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"This book is about some stories that everybody has experienced once in their lives when they were young. These stories are really close to each person's life. But I don't like it very much because it has some romantic details which I hate :"">",3,"May 28, 2017"
34962964,Emma Fang,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"As its name, just give you a ticket to come back to childhood years. There were packs of candy given each other, afternoons run away from home to steal mangos, fly kites on rice paddies and catch field crabs ... ",4,"Oct 31, 2017"
7021630,Trang Do,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"I am given this book during this time as a therapy for the soul.I am not a fan of Nguyen Nhat Anh, simply not. But this book brings me pure joy and happy memories from the childhood, which probably a good treat of joyful moments I am in need right now.It is a good-night book.",4,"May 12, 2020"
2171826,Tyler Jones,Cho Tôi Xin Một Vé Đi Tuổi Thơ,A pitch-perfect return to the mind of childhood.,5,"Jun 05, 2017"
5717023,Jamie,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"A great read for a family oriented person, big or small. ",4,"Jan 22, 2018"
6978259,Justin Echols,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"""Many people are afraid of sadness, but I'm not one of them. I'm only afraid of boredom. Sadness, in that respect, is an excellent remedy, since it expands to fill almost any void.""",3,"May 30, 2018"
27418633,Thao Duong,Cho Tôi Xin Một Vé Đi Tuổi Thơ,I’m not into his writing but the stories are lovely and relatable ,4,"Aug 13, 2018"
62678605,Duy Nguyen,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"Underneath the collection of his silly childhood memories is the call that sometimes, behaving like a child is not a bad idea for many adults",5,"Aug 28, 2018"
93694694,Lê Tùng,Cho Tôi Xin Một Vé Đi Tuổi Thơ,The story of childhood makes me feel like I grew up,5,"Feb 17, 2019"
66913291,Hoàng Huyền,Cho Tôi Xin Một Vé Đi Tuổi Thơ,"the book is bold, pure, easy-understanding and nostalgic which reminded me of all the good old days, of my childhood.",5,"Mar 09, 2019"
3417529,Martha Samsell,Cho Tôi Xin Một Vé Đi Tuổi Thơ,Easy read. Only 86 pages. About a man's life and plans he made.,5,"Jun 10, 2019"
94199723,Min Yoonry,Cho Tôi Xin Một Vé Đi Tuổi Thơ,so funny,0,"Jun 22, 2019"
96876394,Quân Nguyễn,Cho Tôi Xin Một Vé Đi Tuổi Thơ,This book is very good. You should try it when you be a adult.,5,"Aug 14, 2019"
96269369,Hoang Thanh Nga,Cho Tôi Xin Một Vé Đi Tuổi Thơ,i love it just because it's so REAL and SIMPLE,5,"Nov 29, 2019"
